F_id,Hamming Distance
f_7_1,28
f_8_1,19
f_9_1,26
f_10_1,20
f_12_1,28
f_11_1,26
f_13_1,18
f_14_1,21
f_15_1,20
f_16_1,28
f_1_1,32
f_2_1,27
f_3_1,23
f_4_1,31
f_5_1,23
f_6_1,32
